baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,Species,combined_traits
14.36787761845863,-1.9002103874201612,0.5249671523465744,-3.619674829037064,2.9497346030522603e-4,0.013538364597932296,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Ramlibacter,s__,aerobic_chemoheterotrophy
15.094968283038146,4.515149354721682,1.0081382683398747,4.478700488333694,7.509881677207762e-6,9.193676200623818e-4,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__KF-JG30-C25,f__,g__,s__,unassigned
16.645550406463077,2.702581516833571,0.5685831372049438,4.753186192117821,2.002357895505471e-6,2.7396967440857206e-4,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
30.869199469432616,3.0627936500118493,0.8567242997458402,3.5750049939291695,3.5022121112586924e-4,0.015370085605259844,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__,g__,s__,unassigned
23.97128733525714,4.76843935967925,0.8096185891275997,5.889735517087691,3.868141793519395e-9,1.285328258818016e-6,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__,cellulolysisaerobic_chemoheterotrophy
20.54711226950841,2.899565820324068,0.7626164229307324,3.802128741446514,1.4345814349587627e-4,0.008138625409058737,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__,s__,unassigned
31.049230216830065,2.9577417347026924,0.6956732648902355,4.251624841683933,2.1222515353407228e-5,0.0018282803967416745,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
26.446860028679737,2.1626013188012223,0.5483707512814794,3.9436846581395373,8.02391539104263e-5,0.005229471286865937,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
39.25115430582356,2.7987746493677803,0.8336919773288638,3.3570847812821842,7.876895531641329e-4,0.025869251034574325,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
8.241048896614497,1.9697109854184542,0.6165824752703628,3.1945620649609987,0.001400431694835637,0.034653235342422255,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__ADurb.Bin063-1,s__,unassigned
