baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,Species,combined_traits
102.45400,4.53255,0.67358,6.72902,1.71E-11,9.93E-09,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__,cellulolysisaerobic_chemoheterotrophy
15.09497,4.51515,1.00814,4.47870,7.51E-06,9.19E-04,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__KF-JG30-C25,f__,g__,s__,unassigned
17.96704,4.51218,1.01111,4.46258,8.10E-06,9.42E-04,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__,cellulolysisaerobic_chemoheterotrophy
21.18937,4.21621,0.78182,5.39279,6.94E-08,1.61E-05,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__,s__,unassigned
15.58998,4.16464,0.84752,4.91389,8.93E-07,1.73E-04,k__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Phaselicystidaceae,g__Phaselicystis,s__,unassigned
72.82984,3.98018,0.82371,4.83201,1.35E-06,2.42E-04,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Catenulisporales,f__Catenulisporaceae,g__Catenulispora,s__acidiphila,unassigned
12.29496,3.95457,0.95065,4.15984,3.18E-05,2.55E-03,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__,g__,s__,unassigned
9.66996,3.80005,0.96958,3.91929,8.88E-05,5.44E-03,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__,f__,g__,s__,unassigned
13.56281,3.75285,0.90996,4.12421,3.72E-05,2.74E-03,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__Singulisphaera,s__,aerobic_chemoheterotrophyureolysis
33.92998,3.68173,0.84363,4.36416,1.28E-05,1.24E-03,k__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Tepidisphaerales,f__WD2101 soil group,g__,s__,unassigned
12.38259,3.65173,0.85672,4.26247,2.02E-05,1.81E-03,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__Chthoniobacter,s__,aerobic_chemoheterotrophy
18.65411,3.63310,0.75927,4.78499,1.71E-06,2.49E-04,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
40.05035,3.56413,0.86035,4.14263,3.43E-05,2.66E-03,k__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__,f__,g__,s__,unassigned
10.74846,3.55052,0.84963,4.17888,2.93E-05,2.43E-03,k__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Tepidisphaerales,f__WD2101 soil group,g__,s__,unassigned
9.19195,3.50125,0.93036,3.76333,1.68E-04,9.29E-03,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Planctomycetales,f__Schlesneriaceae,g__Schlesneria,s__,aerobic_chemoheterotrophynitrate_respirationnitrate_reductionnitrogen_respiration
8.52027,3.45990,0.93234,3.71099,2.06E-04,1.09E-02,k__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Tepidisphaerales,f__WD2101 soil group,g__,s__,unassigned
8.65025,3.45387,0.89061,3.87811,1.05E-04,6.28E-03,k__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__,g__,s__,unassigned
301.06511,3.40161,0.52055,6.53466,6.38E-11,2.97E-08,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Ktedonobacterales,f__Ktedonobacteraceae,g__JG30a-KF-32,s__,unassigned
12.71278,3.39620,0.93011,3.65138,2.61E-04,1.26E-02,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
33.58981,3.30281,1.03302,3.19725,1.39E-03,3.47E-02,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Ktedonobacterales,f__Ktedonobacteraceae,g__1959-1,s__,unassigned
5.37010,3.25948,0.81227,4.01280,6.00E-05,4.23E-03,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__,cellulolysisaerobic_chemoheterotrophy
4.51927,3.25749,1.04318,3.12266,1.79E-03,4.01E-02,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Ktedonobacterales,f__JG30-KF-AS9,g__,s__,unassigned
5.38146,3.25712,0.87395,3.72691,1.94E-04,1.05E-02,k__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Polyangiaceae,g__Sorangium,s__,cellulolysisanaerobic_chemoheterotrophy
8.02639,3.22947,0.93363,3.45904,5.42E-04,2.10E-02,k__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__11-24,f__,g__,s__,unassigned
25.15908,3.16467,0.71417,4.43125,9.37E-06,1.01E-03,k__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Conexibacter,s__,unassigned
4.42085,3.10526,0.97861,3.17314,1.51E-03,3.65E-02,k__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Tepidisphaerales,f__WD2101 soil group,g__,s__,unassigned
7.25141,3.08006,0.90790,3.39252,6.93E-04,2.40E-02,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__,cellulolysisaerobic_chemoheterotrophy
5.05900,3.07554,0.94013,3.27140,1.07E-03,3.14E-02,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__,g__,s__,unassigned
6.84914,3.07131,0.88785,3.45927,5.42E-04,2.10E-02,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__Tundrisphaera,s__,aerobic_chemoheterotrophy
30.86920,3.06279,0.85672,3.57500,3.50E-04,1.54E-02,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__,g__,s__,unassigned
6.87523,2.97839,0.83458,3.56873,3.59E-04,1.55E-02,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Terrimicrobiaceae,g__Terrimicrobium,s__,unassigned
31.04923,2.95774,0.69567,4.25162,2.12E-05,1.83E-03,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
28.88157,2.94657,0.84657,3.48059,5.00E-04,2.01E-02,k__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__,f__,g__,s__,unassigned
4.84388,2.94245,0.91542,3.21431,1.31E-03,3.36E-02,k__Bacteria,p__Armatimonadota,c__Fimbriimonadia,o__Fimbriimonadales,f__Fimbriimonadaceae,g__Fimbriimonas,s__,unassigned
11.92956,2.92017,0.87789,3.32637,8.80E-04,2.77E-02,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__,cellulolysisaerobic_chemoheterotrophy
3.88605,2.90550,0.94399,3.07788,2.08E-03,4.41E-02,k__Bacteria,p__Chloroflexi,c__AD3,o__,f__,g__,s__,unassigned
20.54711,2.89957,0.76262,3.80213,1.43E-04,8.14E-03,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__,s__,unassigned
5.05227,2.89640,0.90650,3.19513,1.40E-03,3.47E-02,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Terrimicrobiaceae,g__Terrimicrobium,s__sacchariphilum,unassigned
13.36268,2.86218,0.83123,3.44329,5.75E-04,2.14E-02,k__Bacteria,p__Armatimonadota,c__Fimbriimonadia,o__Fimbriimonadales,f__Fimbriimonadaceae,g__,s__,unassigned
3.86507,2.84878,0.91407,3.11660,1.83E-03,4.05E-02,k__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__,s__,unassigned
8.77260,2.82956,0.63916,4.42700,9.56E-06,1.01E-03,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Pirellula,s__,unassigned
6.89939,2.82027,0.82447,3.42070,6.25E-04,2.24E-02,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__,s__,aerobic_chemoheterotrophy
39.25115,2.79877,0.83369,3.35708,7.88E-04,2.59E-02,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
9.47247,2.76579,0.85470,3.23596,1.21E-03,3.24E-02,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Mucilaginibacter,s__,unassigned
18.10806,2.76316,0.71952,3.84028,1.23E-04,7.15E-03,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Micropepsales,f__Micropepsaceae,g__,s__,unassigned
4.78469,2.76311,0.87842,3.14557,1.66E-03,3.87E-02,k__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Polyangiaceae,g__,s__,unassigned
10.78618,2.73476,0.69557,3.93167,8.44E-05,5.30E-03,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__Gemmata,s__,unassigned
16.64555,2.70258,0.56858,4.75319,2.00E-06,2.74E-04,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
5.14327,2.69573,0.85730,3.14443,1.66E-03,3.87E-02,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
37.34174,2.68424,0.78054,3.43896,5.84E-04,2.14E-02,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Sphaerotilus,s__,aerobic_chemoheterotrophy
13.15401,2.67778,0.87867,3.04755,2.31E-03,4.79E-02,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__,f__,g__Acidibacter,s__,unassigned
5.86568,2.61634,0.77792,3.36324,7.70E-04,2.59E-02,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Azospirillales,f__Inquilinaceae,g__Inquilinus,s__,unassigned
10.38918,2.60039,0.80662,3.22380,1.27E-03,3.34E-02,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__,cellulolysisaerobic_chemoheterotrophy
5.35734,2.57425,0.84191,3.05764,2.23E-03,4.67E-02,k__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Tepidisphaerales,f__CPla-3 termite group,g__,s__,unassigned
4.59724,2.57213,0.71092,3.61804,2.97E-04,1.35E-02,k__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,unassigned
15.97901,2.56636,0.78535,3.26779,1.08E-03,3.14E-02,k__Bacteria,p__Armatimonadota,c__Chthonomonadetes,o__Chthonomonadales,f__Chthonomonadaceae,g__Chthonomonas,s__,unassigned
