"","Kingdom","Phylum","Class","Order","Family","Genus","Primary_lifestyle"
"Unclass_f__Dermateaceae","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","Unclass_f__Dermateaceae",NA
"Unclass_f__Muyocopronaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Muyocopronales","f__Muyocopronaceae","Unclass_f__Muyocopronaceae",NA
"g__Dothidotthia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Dothidotthiaceae","g__Dothidotthia","plant_pathogen"
"g__Blastobotrys","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Trichomonascaceae","g__Blastobotrys","nectar/tap_saprotroph"
"g__Berkeleyomyces","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Ceratocystidaceae","g__Berkeleyomyces","plant_pathogen"
"g__Lachnellula","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Lachnellula","wood_saprotroph"
"g__Antealophiotrema","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Antealophiotrema","wood_saprotroph"
"g__Teunia","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Teunia","soil_saprotroph"
"g__Colletotrichum","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Glomerellaceae","g__Colletotrichum","plant_pathogen"
"g__Bhatiellae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Bhatiellae","wood_saprotroph"
"Unclass_p__Mucoromycota","k__Fungi","p__Mucoromycota",NA,NA,NA,"Unclass_p__Mucoromycota",NA
"Unclass_o__Xylariales","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales",NA,"Unclass_o__Xylariales",NA
"g__GS22_gen_Incertae_sedis","k__Fungi","p__Mucoromycota","c__Endogonomycetes","o__GS22","f__GS22_fam_Incertae_sedis","g__GS22_gen_Incertae_sedis",""
"g__Kurtzmanomyces","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Chionosphaeraceae","g__Kurtzmanomyces","unspecified_saprotroph"
"g__Cystobasidiaceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Cystobasidiaceae_gen_Incertae_sedis",""
"Unclass_f__Dothioraceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","Unclass_f__Dothioraceae",NA
"g__Necromortierella","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Necromortierella",""
"Unclass_f__Pannariaceae","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Peltigerales","f__Pannariaceae","Unclass_f__Pannariaceae",NA
"g__Neovaginatispora","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Neovaginatispora","wood_saprotroph"
"g__Isthmomyces","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Microthyriales","f__Microthyriaceae","g__Isthmomyces",""
"g__Phoma","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Phoma","plant_pathogen"
"g__Paraphaeosphaeria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraphaeosphaeria","wood_saprotroph"
"g__Agaricostilbales_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Agaricostilbales_fam_Incertae_sedis","g__Agaricostilbales_gen_Incertae_sedis",""
"g__Keissleriella","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Keissleriella","wood_saprotroph"
"g__Microbotryomycetes_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Microbotryomycetes_fam_Incertae_sedis","g__Microbotryomycetes_gen_Incertae_sedis",""
"g__Minutisphaera","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Minutisphaerales","f__Minutisphaeraceae","g__Minutisphaera","wood_saprotroph"
"Unclass_o__Archaeorhizomycetales","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes","o__Archaeorhizomycetales",NA,"Unclass_o__Archaeorhizomycetales",NA
"g__Eucasphaeria","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Niessliaceae","g__Eucasphaeria","plant_pathogen"
"g__Pleurotheciella","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Pleurotheciales","f__Pleurotheciaceae","g__Pleurotheciella","wood_saprotroph"
"g__Botryosphaeria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Botryosphaeria","plant_pathogen"
"g__GS27_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__GS27","o__GS27_ord_Incertae_sedis","f__GS27_fam_Incertae_sedis","g__GS27_gen_Incertae_sedis",""
"g__Neopyrenochaeta","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Neopyrenochaetaceae","g__Neopyrenochaeta","unspecified_saprotroph"
"g__Protrudomycetaceae_gen_Incertae_sedis","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Protrudomycetaceae","g__Protrudomycetaceae_gen_Incertae_sedis",""
"g__Typhula","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Typhulaceae","g__Typhula","plant_pathogen"
"g__Clavaria","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Clavaria","soil_saprotroph"
"g__Mucoraceae_gen_Incertae_sedis","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Mucoraceae","g__Mucoraceae_gen_Incertae_sedis",""
"g__Seiridium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Sporocadaceae","g__Seiridium","plant_pathogen"
"g__Nigrospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Trichosphaeriaceae","g__Nigrospora","litter_saprotroph"
"g__Sympoventuria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Sympoventuria","litter_saprotroph"
"Unclass_f__Acaulosporaceae","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Acaulosporaceae","Unclass_f__Acaulosporaceae",NA
"g__Mycoleptodiscus","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Muyocopronales","f__Muyocopronaceae","g__Mycoleptodiscus","plant_pathogen"
"g__Endophragmiella","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Helminthosphaeriaceae","g__Endophragmiella","wood_saprotroph"
"g__Bensingtonia","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Kondoaceae","g__Bensingtonia","unspecified_saprotroph"
"g__Haptocillium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Ophiocordycipitaceae","g__Haptocillium","animal_parasite"
"g__Disciseda","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Lycoperdaceae","g__Disciseda","soil_saprotroph"
"g__Lecanoromycetes_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanoromycetes_ord_Incertae_sedis","f__Lecanoromycetes_fam_Incertae_sedis","g__Lecanoromycetes_gen_Incertae_sedis",""
"g__Mortierellomycetes_gen_Incertae_sedis","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellomycetes_ord_Incertae_sedis","f__Mortierellomycetes_fam_Incertae_sedis","g__Mortierellomycetes_gen_Incertae_sedis",""
"Unclass_f__Chaetosphaeriaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Chaetosphaeriales","f__Chaetosphaeriaceae","Unclass_f__Chaetosphaeriaceae",NA
"Unclass_f__Pleosporaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","Unclass_f__Pleosporaceae",NA
"g__Geosmithia","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Geosmithia","unspecified_saprotroph"
"g__Psathyrella","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Psathyrella","wood_saprotroph"
"g__Entoloma","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Entoloma","soil_saprotroph"
"Unclass_f__Melanommataceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae","Unclass_f__Melanommataceae",NA
"Unclass_f__Kriegeriaceae","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Kriegeriales","f__Kriegeriaceae","Unclass_f__Kriegeriaceae",NA
"g__Cryptotrichosporon","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Tetragoniomycetaceae","g__Cryptotrichosporon","plant_pathogen"
"g__Corticiaceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae","g__Corticiaceae_gen_Incertae_sedis",""
"g__Acaulospora","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Acaulosporaceae","g__Acaulospora","arbuscular_mycorrhizal"
"g__Parazalerion","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Microthyriales","f__Microthyriales_fam_Incertae_sedis","g__Parazalerion","soil_saprotroph"
"g__Spiculogloeomycetes_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Spiculogloeomycetes","o__Spiculogloeomycetes_ord_Incertae_sedis","f__Spiculogloeomycetes_fam_Incertae_sedis","g__Spiculogloeomycetes_gen_Incertae_sedis",""
"g__Cephalothecaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Cephalothecaceae","g__Cephalothecaceae_gen_Incertae_sedis",""
"g__Dictyosporiaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Dictyosporiaceae","g__Dictyosporiaceae_gen_Incertae_sedis",""
"g__Betamyces","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Alphamycetaceae","g__Betamyces","pollen_saprotroph"
"g__Marcelleina","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Marcelleina","ectomycorrhizal"
"g__Microascus","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Microascus","soil_saprotroph"
"Unclass_o__Monoblepharidales","k__Fungi","p__Monoblepharomycota","c__Monoblepharidomycetes","o__Monoblepharidales",NA,"Unclass_o__Monoblepharidales",NA
"Unclass_f__Fusculinaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Fusculinaceae","Unclass_f__Fusculinaceae",NA
"Unclass_o__Venturiales","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales",NA,"Unclass_o__Venturiales",NA
"g__Physconia","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Caliciales","f__Physciaceae","g__Physconia","lichenized"
"g__Coltricia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Coltricia","ectomycorrhizal"
"g__Lobulomyces","k__Fungi","p__Chytridiomycota","c__Lobulomycetes","o__Lobulomycetales","f__Lobulomycetaceae","g__Lobulomyces","pollen_saprotroph"
"g__Clavulinaceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Clavulinaceae","g__Clavulinaceae_gen_Incertae_sedis",""
"g__Rachicladosporium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Rachicladosporium","litter_saprotroph"
"g__Clitopilus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Clitopilus","litter_saprotroph"
"g__Saksenaea","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Saksenaeaceae","g__Saksenaea","soil_saprotroph"
"g__GS17_ord_Incertae_sedis_gen_Incertae_sedis","k__Fungi","p__Olpidiomycota","c__GS17","o__GS17_ord_Incertae_sedis","f__GS17_ord_Incertae_sedis_fam_Incertae_sedis","g__GS17_ord_Incertae_sedis_gen_Incertae_sedis",""
"g__Oedocephalum","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Oedocephalum","litter_saprotroph"
"g__Ochroconis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Ochroconis","animal_parasite"
"g__Clavariaceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Clavariaceae_gen_Incertae_sedis",""
"g__Polyschema","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Polyschema","soil_saprotroph"
"g__Metarhizium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Metarhizium","animal_parasite"
"g__Fonsecazyma","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleraceae","g__Fonsecazyma","unspecified_saprotroph"
"g__Arachnopeziza","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Arachnopeziza","wood_saprotroph"
"g__Pleosporales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Pleosporales_gen_Incertae_sedis",""
"g__Diplodia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Diplodia","plant_pathogen"
"Unclass_o__Microbotryomycetes_ord_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis",NA,"Unclass_o__Microbotryomycetes_ord_Incertae_sedis",NA
"g__Lasiobolidium","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Lasiobolidium","dung_saprotroph"
"g__Tremellaceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellaceae","g__Tremellaceae_gen_Incertae_sedis",""
"Unclass_o__Rhizophlyctidales","k__Fungi","p__Chytridiomycota","c__Rhizophlyctidomycetes","o__Rhizophlyctidales",NA,"Unclass_o__Rhizophlyctidales",NA
"g__Fomitiporia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Fomitiporia","plant_pathogen"
"g__GS05_gen_Incertae_sedis","k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS05","f__GS05_fam_Incertae_sedis","g__GS05_gen_Incertae_sedis",""
"g__Anthracobia","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Anthracobia","soil_saprotroph"
"g__Warcupia","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Warcupia","soil_saprotroph"
"g__Perilachnea","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Perilachnea",""
"Unclass_o__Tubeufiales","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales",NA,"Unclass_o__Tubeufiales",NA
"Unclass_c__Leotiomycetes","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,"Unclass_c__Leotiomycetes",NA
"Unclass_o__Sclerococcales","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Sclerococcales",NA,"Unclass_o__Sclerococcales",NA
"g__Cyanodermella","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Stictidaceae","g__Cyanodermella","wood_saprotroph"
"g__Halosarpheia","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Halosphaeriaceae","g__Halosarpheia","wood_saprotroph"
"g__Catenulomyces","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetes_ord_Incertae_sedis","f__Dothideomycetes_fam_Incertae_sedis","g__Catenulomyces","soil_saprotroph"
"g__Atractospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Myrmecridiales","f__Myrmecridiales_fam_Incertae_sedis","g__Atractospora","wood_saprotroph"
"g__Hemibeltrania","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Beltraniaceae","g__Hemibeltrania","litter_saprotroph"
"g__Papulaspora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariales_fam_Incertae_sedis","g__Papulaspora","wood_saprotroph"
"Unclass_f__Niessliaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Niessliaceae","Unclass_f__Niessliaceae",NA
"g__Dothideales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideales_fam_Incertae_sedis","g__Dothideales_gen_Incertae_sedis",""
"Unclass_o__Agaricostilbales","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales",NA,"Unclass_o__Agaricostilbales",NA
"g__Hypoxylon","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Hypoxylaceae","g__Hypoxylon","wood_saprotroph"
"Unclass_c__Archaeorhizomycetes","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes",NA,NA,"Unclass_c__Archaeorhizomycetes",NA
"Unclass_f__Gloniaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Gloniales","f__Gloniaceae","Unclass_f__Gloniaceae",NA
"g__Monoblepharomycota_gen_Incertae_sedis","k__Fungi","p__Monoblepharomycota","c__Monoblepharomycota_cls_Incertae_sedis","o__Monoblepharomycota_ord_Incertae_sedis","f__Monoblepharomycota_fam_Incertae_sedis","g__Monoblepharomycota_gen_Incertae_sedis",""
"g__Mycopan","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Marasmiaceae","g__Mycopan","litter_saprotroph"
"g__Phlebia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Phlebia","wood_saprotroph"
"g__Symmetrospora","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Symmetrosporaceae","g__Symmetrospora","epiphyte"
"g__Polyporus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Polyporus","wood_saprotroph"
"g__Heterocephalacria","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Heterocephalacria","lichen_parasite"
"g__Anteaglonium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Anteagloniaceae","g__Anteaglonium","wood_saprotroph"
"g__Cyphellophoraceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophoraceae_gen_Incertae_sedis",""
"g__Nanoglomus","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Nanoglomus","arbuscular_mycorrhizal"
"g__Angustimassarina","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Amorosiaceae","g__Angustimassarina","mycoparasite"
"g__Neodevriesia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neodevriesiaceae","g__Neodevriesia","plant_pathogen"
"g__Verrucaria","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria","lichenized"
"Unclass_f__Sarcosomataceae","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Sarcosomataceae","Unclass_f__Sarcosomataceae",NA
"g__Pycnopeziza","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae","g__Pycnopeziza","litter_saprotroph"
"g__Chrysozyma","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Chrysozymaceae","g__Chrysozyma","soil_saprotroph"
"Unclass_f__Pleurotheciaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Pleurotheciales","f__Pleurotheciaceae","Unclass_f__Pleurotheciaceae",NA
"Unclass_f__Physciaceae","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Caliciales","f__Physciaceae","Unclass_f__Physciaceae",NA
"g__Zoopagomycota_gen_Incertae_sedis","k__Fungi","p__Zoopagomycota","c__Zoopagomycota_cls_Incertae_sedis","o__Zoopagomycota_ord_Incertae_sedis","f__Zoopagomycota_fam_Incertae_sedis","g__Zoopagomycota_gen_Incertae_sedis",""
"Unclass_f__Sporocadaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Sporocadaceae","Unclass_f__Sporocadaceae",NA
"g__Buckleyzyma","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Buckleyzymaceae","g__Buckleyzyma","epiphyte"
"Unclass_o__Hyaloraphidiales","k__Fungi","p__Monoblepharomycota","c__Hyaloraphidiomycetes","o__Hyaloraphidiales",NA,"Unclass_o__Hyaloraphidiales",NA
"g__Golovinomyces","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Erysiphales","f__Erysiphaceae","g__Golovinomyces","plant_pathogen"
"g__Circinella","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Lichtheimiaceae","g__Circinella","soil_saprotroph"
"g__Laccaria","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hydnangiaceae","g__Laccaria","ectomycorrhizal"
"g__Xylomelasma","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetes_ord_Incertae_sedis","f__Sordariomycetes_fam_Incertae_sedis","g__Xylomelasma","wood_saprotroph"
"g__Pseudorhizidium","k__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Chytridiales","f__Chytridiales_fam_Incertae_sedis","g__Pseudorhizidium","pollen_saprotroph"
"g__Piskurozyma","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Piskurozyma","soil_saprotroph"
"Unclass_f__Annulatascaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Annulatascales","f__Annulatascaceae","Unclass_f__Annulatascaceae",NA
"g__Comoclathris","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Comoclathris","wood_saprotroph"
"Unclass_f__Gonapodyaceae","k__Fungi","p__Monoblepharomycota","c__Monoblepharidomycetes","o__Monoblepharidales","f__Gonapodyaceae","Unclass_f__Gonapodyaceae",NA
"g__Scutellospora","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Gigasporales","f__Scutellosporaceae","g__Scutellospora","arbuscular_mycorrhizal"
"Unclass_f__Chionosphaeraceae","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Chionosphaeraceae","Unclass_f__Chionosphaeraceae",NA
"g__Byssomerulius","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Byssomerulius","wood_saprotroph"
"Unclass_f__Sporormiaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","Unclass_f__Sporormiaceae",NA
"g__Erratomyces","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Tilletiales","f__Tilletiaceae","g__Erratomyces","plant_pathogen"
"g__Tetracladium_f__Calloriaceae","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Calloriaceae","g__Tetracladium_f__Calloriaceae",NA
"g__Microthyrium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Microthyriales","f__Microthyriaceae","g__Microthyrium","epiphyte"
"g__Kazachstania","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Kazachstania","nectar/tap_saprotroph"
"g__Colacogloea","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Colacogloeaceae","g__Colacogloea","mycoparasite"
"g__Sarocladium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Sarocladium","plant_pathogen"
"Unclass_o__Mycosphaerellales","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales",NA,"Unclass_o__Mycosphaerellales",NA
"g__Helotium","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Helotium",""
"g__Kwoniella","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Kwoniella","unspecified_saprotroph"
"Unclass_c__Cystobasidiomycetes","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes",NA,NA,"Unclass_c__Cystobasidiomycetes",NA
"Unclass_f__Trichomeriaceae","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","Unclass_f__Trichomeriaceae",NA
"g__Cytosporella","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Cytosporella","wood_saprotroph"
"g__Hysterium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Hysteriales","f__Hysteriaceae","g__Hysterium","wood_saprotroph"
"Unclass_o__Rhizophydiales","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales",NA,"Unclass_o__Rhizophydiales",NA
