"","Kingdom","Phylum","Class","Order","Family","Genus","Primary_lifestyle"
"Unclass_f__Helvellaceae","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Helvellaceae","Unclass_f__Helvellaceae",NA
"g__Ramophialophora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Bombardiaceae","g__Ramophialophora","soil_saprotroph"
"g__Sclerococcales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Sclerococcales","f__Sclerococcales_fam_Incertae_sedis","g__Sclerococcales_gen_Incertae_sedis",""
"g__Pleomassariaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleomassariaceae","g__Pleomassariaceae_gen_Incertae_sedis",""
"g__Waitea","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae","g__Waitea","plant_pathogen"
"g__Pseudorhypophila","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Naviculisporaceae","g__Pseudorhypophila",""
"g__Gibellulopsis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","g__Gibellulopsis","plant_pathogen"
"g__Ascotricha","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Ascotricha","soil_saprotroph"
"Unclass_f__Venturiaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","Unclass_f__Venturiaceae",NA
"g__Lunasporangiospora","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Lunasporangiospora",""
"g__Pseudotomentella","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Pseudotomentella","ectomycorrhizal"
"g__Calyptrozyma","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Calyptrozyma","unspecified_saprotroph"
"g__Diversisporaceae_gen_Incertae_sedis","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Diversisporales","f__Diversisporaceae","g__Diversisporaceae_gen_Incertae_sedis",""
"Unclass_f__Ceratobasidiaceae","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","Unclass_f__Ceratobasidiaceae",NA
"g__Halosphaeriaceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Halosphaeriaceae","g__Halosphaeriaceae_gen_Incertae_sedis",""
"g__Phaeosphaeriopsis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeriopsis","plant_pathogen"
"g__Rhagadostoma","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coronophorales","f__Nitschkiaceae","g__Rhagadostoma","lichen_parasite"
