Extraction_ID,FWD_barcode,REV_barcode,nucleic_acid,amplification,DO_ID,extraction_date,batch_letter,notes_extraction,DNA_ng_per_uL,twenty_uL_DNA_dilution_2_ng_per_uL,DNA_PCR_water,RNA_ng_per_uL,twenty_uL_RNA_dilution_2_ng_per_uL,RNA_PCR_water,cDNA_conc_ng_per_uL,uL_cDNA_input,cDNA_final_input_ng_per_uL
D56-D,PCR_F_bc010,PCR_R_bc003,DNA,PCR_ITS,DO_T03_30-37.5,10/24/23,D,NA,43.8,0.913242009,50uL,NA,NA,NA,NA,NA,NA
D57-D,PCR_F_bc011,PCR_R_bc003,DNA,PCR_ITS,DO_T04_0-7.5,10/25/23,A,NA,36.4,1.098901099,NA,NA,NA,NA,NA,NA,NA
D58-D,PCR_F_bc012,PCR_R_bc003,DNA,PCR_ITS,DO_T05_22.5-30,10/25/23,C,NA,34.4,1.162790698,150uL,NA,NA,NA,NA,NA,NA
D59-D,PCR_F_bc013,PCR_R_bc003,DNA,PCR_ITS,DO_T05_30-37.5,10/25/23,D,NA,30.7,1.302931596,50uL,NA,NA,NA,NA,NA,NA
D60-D,PCR_F_bc014,PCR_R_bc003,DNA,PCR_ITS,DO_T06_7.5-15,10/31/23,B,NA,38.2,1.047120419,50uL,NA,NA,NA,NA,NA,NA
D61-D,PCR_F_bc015,PCR_R_bc003,DNA,PCR_ITS,DO_T02_15-22.5,10/31/23,A,NA,34,1.176470588,250uL,NA,NA,NA,NA,NA,NA
D62-D,PCR_F_bc016,PCR_R_bc003,DNA,PCR_ITS,DO_T06_37.5-45,10/31/23,D,NA,31.8,1.257861635,NA,NA,NA,NA,NA,NA,NA
D63-D,PCR_F_bc017,PCR_R_bc003,DNA,PCR_ITS,DO_NA_NA,9/29/23,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MMC,PCR_F_bc018,PCR_R_bc003,DNA,PCR_ITS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Negative,PCR_F_bc019,PCR_R_bc003,DNA,PCR_ITS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D01-R,PCR_F_bc020,PCR_R_bc003,RNA,PCR_16S,DO_T05_0-7.5,8/22/23,B,NA,NA,NA,NA,34.6,1.156069364,50uL,3.7,1,3.7
