"","Kingdom","Phylum","Class","Order","Family","Genus","Primary_lifestyle","tid"
"g__Clavariaceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Clavariaceae","g__Clavariaceae_gen_Incertae_sedis","","ft_658"
"g__Polyschema","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Polyschema","soil_saprotroph","ft_659"
"g__Metarhizium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Metarhizium","animal_parasite","ft_660"
"g__Fonsecazyma","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleraceae","g__Fonsecazyma","unspecified_saprotroph","ft_661"
"g__Arachnopeziza","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Arachnopeziza","wood_saprotroph","ft_662"
"g__Pleosporales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Pleosporales_gen_Incertae_sedis","","ft_663"
"g__Diplodia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Diplodia","plant_pathogen","ft_664"
"Unclass_o__Microbotryomycetes_ord_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis",NA,"Unclass_o__Microbotryomycetes_ord_Incertae_sedis",NA,"ft_665"
"g__Lasiobolidium","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Lasiobolidium","dung_saprotroph","ft_666"
"g__Tremellaceae_gen_Incertae_sedis","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellaceae","g__Tremellaceae_gen_Incertae_sedis","","ft_667"
"Unclass_o__Rhizophlyctidales","k__Fungi","p__Chytridiomycota","c__Rhizophlyctidomycetes","o__Rhizophlyctidales",NA,"Unclass_o__Rhizophlyctidales",NA,"ft_668"
"g__Fomitiporia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Fomitiporia","plant_pathogen","ft_669"
"g__GS05_gen_Incertae_sedis","k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS05","f__GS05_fam_Incertae_sedis","g__GS05_gen_Incertae_sedis","","ft_670"
"g__Anthracobia","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Anthracobia","soil_saprotroph","ft_671"
"g__Warcupia","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Warcupia","soil_saprotroph","ft_672"
"g__Perilachnea","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Perilachnea","","ft_673"
"Unclass_o__Tubeufiales","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales",NA,"Unclass_o__Tubeufiales",NA,"ft_674"
"Unclass_c__Leotiomycetes","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,"Unclass_c__Leotiomycetes",NA,"ft_675"
"Unclass_o__Sclerococcales","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Sclerococcales",NA,"Unclass_o__Sclerococcales",NA,"ft_676"
"g__Cyanodermella","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Stictidaceae","g__Cyanodermella","wood_saprotroph","ft_677"
"g__Halosarpheia","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Halosphaeriaceae","g__Halosarpheia","wood_saprotroph","ft_678"
"g__Catenulomyces","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetes_ord_Incertae_sedis","f__Dothideomycetes_fam_Incertae_sedis","g__Catenulomyces","soil_saprotroph","ft_679"
"g__Atractospora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Myrmecridiales","f__Myrmecridiales_fam_Incertae_sedis","g__Atractospora","wood_saprotroph","ft_680"
"g__Hemibeltrania","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Beltraniaceae","g__Hemibeltrania","litter_saprotroph","ft_681"
"g__Papulaspora","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariales_fam_Incertae_sedis","g__Papulaspora","wood_saprotroph","ft_682"
"Unclass_f__Niessliaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Niessliaceae","Unclass_f__Niessliaceae",NA,"ft_683"
"g__Dothideales_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideales_fam_Incertae_sedis","g__Dothideales_gen_Incertae_sedis","","ft_684"
"Unclass_o__Agaricostilbales","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales",NA,"Unclass_o__Agaricostilbales",NA,"ft_685"
"g__Hypoxylon","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Hypoxylaceae","g__Hypoxylon","wood_saprotroph","ft_686"
"Unclass_c__Archaeorhizomycetes","k__Fungi","p__Ascomycota","c__Archaeorhizomycetes",NA,NA,"Unclass_c__Archaeorhizomycetes",NA,"ft_687"
"Unclass_f__Gloniaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Gloniales","f__Gloniaceae","Unclass_f__Gloniaceae",NA,"ft_688"
"g__Monoblepharomycota_gen_Incertae_sedis","k__Fungi","p__Monoblepharomycota","c__Monoblepharomycota_cls_Incertae_sedis","o__Monoblepharomycota_ord_Incertae_sedis","f__Monoblepharomycota_fam_Incertae_sedis","g__Monoblepharomycota_gen_Incertae_sedis","","ft_689"
"g__Mycopan","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Marasmiaceae","g__Mycopan","litter_saprotroph","ft_690"
"g__Phlebia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Phlebia","wood_saprotroph","ft_691"
"g__Symmetrospora","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Symmetrosporaceae","g__Symmetrospora","epiphyte","ft_692"
"g__Polyporus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Polyporus","wood_saprotroph","ft_693"
"g__Heterocephalacria","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Heterocephalacria","lichen_parasite","ft_694"
"g__Anteaglonium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Anteagloniaceae","g__Anteaglonium","wood_saprotroph","ft_695"
"g__Cyphellophoraceae_gen_Incertae_sedis","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophoraceae_gen_Incertae_sedis","","ft_696"
"g__Nanoglomus","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Nanoglomus","arbuscular_mycorrhizal","ft_697"
"g__Angustimassarina","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Amorosiaceae","g__Angustimassarina","mycoparasite","ft_698"
"g__Neodevriesia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neodevriesiaceae","g__Neodevriesia","plant_pathogen","ft_699"
"g__Verrucaria","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucaria","lichenized","ft_700"
"Unclass_f__Sarcosomataceae","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Sarcosomataceae","Unclass_f__Sarcosomataceae",NA,"ft_701"
"g__Pycnopeziza","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae","g__Pycnopeziza","litter_saprotroph","ft_702"
"g__Chrysozyma","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Chrysozymaceae","g__Chrysozyma","soil_saprotroph","ft_703"
"Unclass_f__Pleurotheciaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Pleurotheciales","f__Pleurotheciaceae","Unclass_f__Pleurotheciaceae",NA,"ft_704"
"Unclass_f__Physciaceae","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Caliciales","f__Physciaceae","Unclass_f__Physciaceae",NA,"ft_705"
"g__Zoopagomycota_gen_Incertae_sedis","k__Fungi","p__Zoopagomycota","c__Zoopagomycota_cls_Incertae_sedis","o__Zoopagomycota_ord_Incertae_sedis","f__Zoopagomycota_fam_Incertae_sedis","g__Zoopagomycota_gen_Incertae_sedis","","ft_706"
"Unclass_f__Sporocadaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Sporocadaceae","Unclass_f__Sporocadaceae",NA,"ft_707"
"g__Buckleyzyma","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Buckleyzymaceae","g__Buckleyzyma","epiphyte","ft_708"
"Unclass_o__Hyaloraphidiales","k__Fungi","p__Monoblepharomycota","c__Hyaloraphidiomycetes","o__Hyaloraphidiales",NA,"Unclass_o__Hyaloraphidiales",NA,"ft_709"
"g__Golovinomyces","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Erysiphales","f__Erysiphaceae","g__Golovinomyces","plant_pathogen","ft_710"
"g__Circinella","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Lichtheimiaceae","g__Circinella","soil_saprotroph","ft_711"
"g__Laccaria","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hydnangiaceae","g__Laccaria","ectomycorrhizal","ft_712"
"g__Xylomelasma","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetes_ord_Incertae_sedis","f__Sordariomycetes_fam_Incertae_sedis","g__Xylomelasma","wood_saprotroph","ft_713"
"g__Pseudorhizidium","k__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Chytridiales","f__Chytridiales_fam_Incertae_sedis","g__Pseudorhizidium","pollen_saprotroph","ft_714"
"g__Piskurozyma","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Piskurozyma","soil_saprotroph","ft_715"
"Unclass_f__Annulatascaceae","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Annulatascales","f__Annulatascaceae","Unclass_f__Annulatascaceae",NA,"ft_716"
"g__Comoclathris","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Comoclathris","wood_saprotroph","ft_717"
"Unclass_f__Gonapodyaceae","k__Fungi","p__Monoblepharomycota","c__Monoblepharidomycetes","o__Monoblepharidales","f__Gonapodyaceae","Unclass_f__Gonapodyaceae",NA,"ft_718"
"g__Scutellospora","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Gigasporales","f__Scutellosporaceae","g__Scutellospora","arbuscular_mycorrhizal","ft_719"
"Unclass_f__Chionosphaeraceae","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Chionosphaeraceae","Unclass_f__Chionosphaeraceae",NA,"ft_720"
"g__Byssomerulius","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Byssomerulius","wood_saprotroph","ft_721"
"Unclass_f__Sporormiaceae","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","Unclass_f__Sporormiaceae",NA,"ft_722"
"g__Erratomyces","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Tilletiales","f__Tilletiaceae","g__Erratomyces","plant_pathogen","ft_723"
"g__Tetracladium_f__Calloriaceae","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Calloriaceae","g__Tetracladium_f__Calloriaceae",NA,"ft_724"
"g__Microthyrium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Microthyriales","f__Microthyriaceae","g__Microthyrium","epiphyte","ft_725"
"g__Kazachstania","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Kazachstania","nectar/tap_saprotroph","ft_726"
"g__Colacogloea","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Colacogloeaceae","g__Colacogloea","mycoparasite","ft_727"
"g__Sarocladium","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Sarocladium","plant_pathogen","ft_728"
"Unclass_o__Mycosphaerellales","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales",NA,"Unclass_o__Mycosphaerellales",NA,"ft_729"
"g__Helotium","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Helotium","","ft_730"
"g__Kwoniella","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Kwoniella","unspecified_saprotroph","ft_731"
"Unclass_c__Cystobasidiomycetes","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes",NA,NA,"Unclass_c__Cystobasidiomycetes",NA,"ft_732"
"Unclass_f__Trichomeriaceae","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","Unclass_f__Trichomeriaceae",NA,"ft_733"
"g__Cytosporella","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Cytosporella","wood_saprotroph","ft_734"
"g__Hysterium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Hysteriales","f__Hysteriaceae","g__Hysterium","wood_saprotroph","ft_735"
"Unclass_o__Rhizophydiales","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales",NA,"Unclass_o__Rhizophydiales",NA,"ft_736"
