"","tid","Genus"
"g__Terrimonas","bt_388","g__Terrimonas"
"Unclass_c__S0134 terrestrial group","bt_389","Unclass_c__S0134 terrestrial group"
"g__Rhodoferax","bt_390","g__Rhodoferax"
"g__Subgroup 10","bt_391","g__Subgroup 10"
"g__Nannocystis","bt_392","g__Nannocystis"
"g__Acidipila-Silvibacterium","bt_393","g__Acidipila-Silvibacterium"
"g__Myxococcus","bt_394","g__Myxococcus"
"g__Schlesneria","bt_395","g__Schlesneria"
"Unclass_o__R7C24","bt_396","Unclass_o__R7C24"
"g__Planococcus","bt_397","g__Planococcus"
"Unclass_o__Thalassobaculales","bt_398","Unclass_o__Thalassobaculales"
"g__Methylocella","bt_399","g__Methylocella"
"g__Blastocatella","bt_400","g__Blastocatella"
"Unclass_f__Paenibacillaceae","bt_401","Unclass_f__Paenibacillaceae"
"g__Oligoflexus","bt_402","g__Oligoflexus"
"g__Terrimicrobium","bt_403","g__Terrimicrobium"
"Unclass_c__Sericytochromatia","bt_404","Unclass_c__Sericytochromatia"
"g__Pontibacter","bt_405","g__Pontibacter"
"Unclass_o__Azospirillales","bt_406","Unclass_o__Azospirillales"
"Unclass_o__S085","bt_407","Unclass_o__S085"
"Unclass_f__Rhodanobacteraceae","bt_408","Unclass_f__Rhodanobacteraceae"
"Unclass_f__Steroidobacteraceae","bt_409","Unclass_f__Steroidobacteraceae"
"Unclass_p__GAL15","bt_410","Unclass_p__GAL15"
"g__Aetherobacter","bt_411","g__Aetherobacter"
"g__Jahnella","bt_412","g__Jahnella"
"g__Pedococcus-Phycicoccus","bt_413","g__Pedococcus-Phycicoccus"
"Unclass_o__EC3","bt_414","Unclass_o__EC3"
"g__Hyphomicrobium","bt_415","g__Hyphomicrobium"
"g__Planomicrobium","bt_416","g__Planomicrobium"
"g__Candidatus Berkiella","bt_417","g__Candidatus Berkiella"
"g__Kocuria","bt_418","g__Kocuria"
"g__Kineosporia","bt_419","g__Kineosporia"
"g__Hamadaea","bt_420","g__Hamadaea"
"g__Paenibacillus","bt_421","g__Paenibacillus"
"g__Ahniella","bt_422","g__Ahniella"
"Unclass_f__Alcaligenaceae","bt_423","Unclass_f__Alcaligenaceae"
"g__Candidatus Protochlamydia","bt_424","g__Candidatus Protochlamydia"
"g__Klebsiella","bt_425","g__Klebsiella"
"g__Aurantisolimonas","bt_426","g__Aurantisolimonas"
"Unclass_p__FCPU426","bt_427","Unclass_p__FCPU426"
"Unclass_f__Reyranellaceae","bt_428","Unclass_f__Reyranellaceae"
"g__Rhodoblastus","bt_429","g__Rhodoblastus"
"Unclass_f__AKYG1722","bt_430","Unclass_f__AKYG1722"
"g__Intrasporangium","bt_431","g__Intrasporangium"
"g__alphaI cluster","bt_432","g__alphaI cluster"
"Unclass_p__Bacteroidota","bt_433","Unclass_p__Bacteroidota"
"g__Candidatus Alysiosphaera","bt_434","g__Candidatus Alysiosphaera"
"g__Hansschlegelia","bt_435","g__Hansschlegelia"
"Unclass_p__WPS-2","bt_436","Unclass_p__WPS-2"
"g__Pseudorhodoplanes","bt_437","g__Pseudorhodoplanes"
"Unclass_f__AKIW781","bt_438","Unclass_f__AKIW781"
"g__Aquabacterium","bt_439","g__Aquabacterium"
"g__Chthonobacter","bt_440","g__Chthonobacter"
"g__Stackebrandtia","bt_441","g__Stackebrandtia"
"g__Sphingoaurantiacus","bt_442","g__Sphingoaurantiacus"
