"","Kingdom","Phylum","Class","Order","Family","Genus","Species","combined_traits","Unique_Node_Name","tid"
"g__Craurococcus-Caldovatus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Acetobacterales","f__Acetobacteraceae","g__Craurococcus-Caldovatus",NA,NA,"g__Craurococcus-Caldovatus","bt_847"
"g__UTCFX1","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__UTCFX1",NA,NA,"g__UTCFX1","bt_848"
"Unclass_f__Taonella","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Ferrovibrionales","f__Taonella","Unclass_f__Taonella",NA,NA,"Unclass_f__Taonella","bt_849"
"Unclass_o__PeM15","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__PeM15","f__","Unclass_o__PeM15",NA,NA,"Unclass_o__PeM15","bt_850"
"g__Alterococcus","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Opitutales","f__Opitutaceae","g__Alterococcus",NA,NA,"g__Alterococcus","bt_851"
"g__Rhizomicrobium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Micropepsales","f__Micropepsaceae","g__Rhizomicrobium",NA,NA,"g__Rhizomicrobium","bt_852"
"g__Solibacillus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Solibacillus",NA,NA,"g__Solibacillus","bt_853"
"Unclass_f__Oscillospiraceae","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","Unclass_f__Oscillospiraceae",NA,NA,"Unclass_f__Oscillospiraceae","bt_854"
"g__Candidatus Ovatusbacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__","f__","g__Candidatus Ovatusbacter",NA,NA,"g__Candidatus Ovatusbacter","bt_855"
"Unclass_c__Microgenomatia","k__Bacteria","p__Patescibacteria","c__Microgenomatia","o__","f__","Unclass_c__Microgenomatia",NA,NA,"Unclass_c__Microgenomatia","bt_856"
"g__Empedobacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Weeksellaceae","g__Empedobacter",NA,NA,"g__Empedobacter","bt_857"
"g__Pseudanabaena PCC-7429","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Pseudanabaenales","f__Pseudanabaenaceae","g__Pseudanabaena PCC-7429",NA,NA,"g__Pseudanabaena PCC-7429","bt_858"
"g__Pantoea","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Erwiniaceae","g__Pantoea",NA,NA,"g__Pantoea","bt_859"
"Unclass_c__Cyanobacteriia","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__","f__","Unclass_c__Cyanobacteriia",NA,NA,"Unclass_c__Cyanobacteriia","bt_860"
"Unclass_f__27F-1492R","k__Bacteria","p__Myxococcota","c__Myxococcia","o__Myxococcales","f__27F-1492R","Unclass_f__27F-1492R",NA,NA,"Unclass_f__27F-1492R","bt_861"
"g__Anoxybacillus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Anoxybacillus",NA,NA,"g__Anoxybacillus","bt_862"
"g__Chroococcidiopsis CC1","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Chroococcidiopsaceae","g__Chroococcidiopsis CC1",NA,NA,"g__Chroococcidiopsis CC1","bt_863"
"g__Geotalea","k__Bacteria","p__Desulfobacterota","c__Desulfuromonadia","o__Geobacterales","f__Geobacteraceae","g__Geotalea",NA,NA,"g__Geotalea","bt_864"
"Unclass_o__Pseudomonadales","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__","Unclass_o__Pseudomonadales",NA,NA,"Unclass_o__Pseudomonadales","bt_865"
"g__Brachybacterium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Dermabacteraceae","g__Brachybacterium",NA,NA,"g__Brachybacterium","bt_866"
"g__1174-901-12","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__1174-901-12",NA,NA,"g__1174-901-12","bt_867"
"g__Stella","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Azospirillales","f__","g__Stella",NA,NA,"g__Stella","bt_868"
"Unclass_o__Chloroflexales","k__Bacteria","p__Chloroflexi","c__Chloroflexia","o__Chloroflexales","f__","Unclass_o__Chloroflexales",NA,NA,"Unclass_o__Chloroflexales","bt_869"
"Unclass_o__SJA-28","k__Bacteria","p__Bacteroidota","c__Ignavibacteria","o__SJA-28","f__","Unclass_o__SJA-28",NA,NA,"Unclass_o__SJA-28","bt_870"
"Unclass_f__Nitrosotaleaceae","k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Nitrosotaleales","f__Nitrosotaleaceae","Unclass_f__Nitrosotaleaceae",NA,NA,"Unclass_f__Nitrosotaleaceae","bt_871"
"Unclass_p__Planctomycetota","k__Bacteria","p__Planctomycetota","c__","o__","f__","Unclass_p__Planctomycetota",NA,NA,"Unclass_p__Planctomycetota","bt_872"
"g__Patulibacter","k__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Patulibacter",NA,NA,"g__Patulibacter","bt_873"
"g__Olivibacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Olivibacter",NA,NA,"g__Olivibacter","bt_874"
"g__Acidicapsa","k__Bacteria","p__Acidobacteriota","c__Acidobacteriae","o__Acidobacteriales","f__Acidobacteriaceae (Subgroup 1)","g__Acidicapsa",NA,NA,"g__Acidicapsa","bt_875"
"g__Ochrobactrum","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Ochrobactrum",NA,NA,"g__Ochrobactrum","bt_876"
"Unclass_p__SAR324 clade(Marine group B)","k__Bacteria","p__SAR324 clade(Marine group B)","c__","o__","f__","Unclass_p__SAR324 clade(Marine group B)",NA,NA,"Unclass_p__SAR324 clade(Marine group B)","bt_877"
"g__FFCH5858","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__FFCH5858",NA,NA,"g__FFCH5858","bt_878"
"g__Candidatus Captivus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Paracaedibacterales","f__Paracaedibacteraceae","g__Candidatus Captivus",NA,NA,"g__Candidatus Captivus","bt_879"
"g__Kytococcus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Dermacoccaceae","g__Kytococcus",NA,NA,"g__Kytococcus","bt_880"
"g__Planctomicrobium","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Planctomycetales","f__Rubinisphaeraceae","g__Planctomicrobium",NA,NA,"g__Planctomicrobium","bt_881"
"g__Lacibacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Lacibacter",NA,NA,"g__Lacibacter","bt_882"
"Unclass_f__Geobacteraceae","k__Bacteria","p__Desulfobacterota","c__Desulfuromonadia","o__Geobacterales","f__Geobacteraceae","Unclass_f__Geobacteraceae",NA,NA,"Unclass_f__Geobacteraceae","bt_883"
"g__Telmatocola","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Gemmatales","f__Gemmataceae","g__Telmatocola",NA,NA,"g__Telmatocola","bt_884"
"g__Aestuariimicrobium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Aestuariimicrobium",NA,NA,"g__Aestuariimicrobium","bt_885"
"g__Tomitella","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__","g__Tomitella",NA,NA,"g__Tomitella","bt_886"
"Unclass_c__Berkelbacteria","k__Bacteria","p__Patescibacteria","c__Berkelbacteria","o__","f__","Unclass_c__Berkelbacteria",NA,NA,"Unclass_c__Berkelbacteria","bt_887"
"g__MM1","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Methylophilaceae","g__MM1",NA,NA,"g__MM1","bt_888"
"g__Candidatus Megaira","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Rickettsiaceae","g__Candidatus Megaira",NA,NA,"g__Candidatus Megaira","bt_889"
"g__Blastomonas","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Blastomonas",NA,NA,"g__Blastomonas","bt_890"
"Unclass_c__Lineage IIc","k__Bacteria","p__Elusimicrobiota","c__Lineage IIc","o__","f__","Unclass_c__Lineage IIc",NA,NA,"Unclass_c__Lineage IIc","bt_891"
"g__Thermocatellispora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptosporangiales","f__Streptosporangiaceae","g__Thermocatellispora",NA,NA,"g__Thermocatellispora","bt_892"
"g__Salinispira","k__Bacteria","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Salinispira",NA,NA,"g__Salinispira","bt_893"
"g__Longimycelium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Longimycelium",NA,NA,"g__Longimycelium","bt_894"
"Unclass_f__MWH-CFBk5","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__MWH-CFBk5","Unclass_f__MWH-CFBk5",NA,NA,"Unclass_f__MWH-CFBk5","bt_895"
"g__Williamsia","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Nocardiaceae","g__Williamsia",NA,NA,"g__Williamsia","bt_896"
"Unclass_f__Hungateiclostridiaceae","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Hungateiclostridiaceae","Unclass_f__Hungateiclostridiaceae",NA,NA,"Unclass_f__Hungateiclostridiaceae","bt_897"
"g__Scytonema UTEX 2349","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Nostocaceae","g__Scytonema UTEX 2349",NA,NA,"g__Scytonema UTEX 2349","bt_898"
"g__Actinoalloteichus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Actinoalloteichus",NA,NA,"g__Actinoalloteichus","bt_899"
"g__Aquipuribacter","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Intrasporangiaceae","g__Aquipuribacter",NA,NA,"g__Aquipuribacter","bt_900"
"g__Aliterella","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Chroococcidiopsaceae","g__Aliterella",NA,NA,"g__Aliterella","bt_901"
"g__Kamptonema PCC-6407","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Phormidiaceae","g__Kamptonema PCC-6407",NA,NA,"g__Kamptonema PCC-6407","bt_902"
"Unclass_f__Cryomorphaceae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Cryomorphaceae","Unclass_f__Cryomorphaceae",NA,NA,"Unclass_f__Cryomorphaceae","bt_903"
"g__CL500-3","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__Phycisphaerales","f__Phycisphaeraceae","g__CL500-3",NA,NA,"g__CL500-3","bt_904"
"Unclass_f__Streptosporangiaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptosporangiales","f__Streptosporangiaceae","Unclass_f__Streptosporangiaceae",NA,NA,"Unclass_f__Streptosporangiaceae","bt_905"
"g__Raoultella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Raoultella",NA,NA,"g__Raoultella","bt_906"
"Unclass_o__Ardenticatenales","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Ardenticatenales","f__","Unclass_o__Ardenticatenales",NA,NA,"Unclass_o__Ardenticatenales","bt_907"
"Unclass_o__Micrococcales","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__","Unclass_o__Micrococcales",NA,NA,"Unclass_o__Micrococcales","bt_908"
"g__Sporosarcina","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Sporosarcina",NA,NA,"g__Sporosarcina","bt_909"
"g__FS142-36B-02","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Nitrosococcales","f__Nitrosococcaceae","g__FS142-36B-02",NA,NA,"g__FS142-36B-02","bt_910"
"g__Anaerolinea","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolineaceae","g__Anaerolinea",NA,NA,"g__Anaerolinea","bt_911"
"g__Haloactinopolyspora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Haloactinopolyspora",NA,NA,"g__Haloactinopolyspora","bt_912"
"g__Ruminococcus","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus",NA,NA,"g__Ruminococcus","bt_913"
"g__Kineococcus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Kineosporiales","f__Kineosporiaceae","g__Kineococcus",NA,NA,"g__Kineococcus","bt_914"
"Unclass_f__Spongiibacteraceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Spongiibacteraceae","Unclass_f__Spongiibacteraceae",NA,NA,"Unclass_f__Spongiibacteraceae","bt_915"
"g__Prosthecomicrobium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Pleomorphomonadaceae","g__Prosthecomicrobium",NA,NA,"g__Prosthecomicrobium","bt_916"
"g__Phytomonospora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Phytomonospora",NA,NA,"g__Phytomonospora","bt_917"
"g__Pseudosphingobacterium","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Pseudosphingobacterium",NA,NA,"g__Pseudosphingobacterium","bt_918"
"g__Waddlia","k__Bacteria","p__Verrucomicrobiota","c__Chlamydiae","o__Chlamydiales","f__Waddliaceae","g__Waddlia",NA,NA,"g__Waddlia","bt_919"
"g__AAP99","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__AAP99",NA,NA,"g__AAP99","bt_920"
"g__Filimonas","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Filimonas",NA,NA,"g__Filimonas","bt_921"
"Unclass_c__Nitrososphaeria","k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__","f__","Unclass_c__Nitrososphaeria",NA,NA,"Unclass_c__Nitrososphaeria","bt_922"
"g__Deinococcus","k__Bacteria","p__Deinococcota","c__Deinococci","o__Deinococcales","f__Deinococcaceae","g__Deinococcus",NA,NA,"g__Deinococcus","bt_923"
"g__Candidatus Obscuribacter","k__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Obscuribacterales","f__Obscuribacteraceae","g__Candidatus Obscuribacter",NA,NA,"g__Candidatus Obscuribacter","bt_924"
"Unclass_f__GW2011_GWC1_47_15","k__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__GW2011_GWC1_47_15","Unclass_f__GW2011_GWC1_47_15",NA,NA,"Unclass_f__GW2011_GWC1_47_15","bt_925"
"g__Achromobacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Achromobacter",NA,NA,"g__Achromobacter","bt_926"
"g__Fonticella","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Caloramatoraceae","g__Fonticella",NA,NA,"g__Fonticella","bt_927"
"g__Prevotellaceae Ga6A1 group","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae Ga6A1 group",NA,NA,"g__Prevotellaceae Ga6A1 group","bt_928"
"g__Pediococcus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Pediococcus",NA,NA,"g__Pediococcus","bt_929"
"g__Jeotgalibacillus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Jeotgalibacillus",NA,NA,"g__Jeotgalibacillus","bt_930"
"g__Amaricoccus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Amaricoccus",NA,NA,"g__Amaricoccus","bt_931"
"g__Chlamydia","k__Bacteria","p__Verrucomicrobiota","c__Chlamydiae","o__Chlamydiales","f__Chlamydiaceae","g__Chlamydia",NA,NA,"g__Chlamydia","bt_932"
"Unclass_o__mle1-8","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__mle1-8","f__","Unclass_o__mle1-8",NA,NA,"Unclass_o__mle1-8","bt_933"
"Unclass_k__Eukaryota","k__Eukaryota","p__","c__","o__","f__","Unclass_k__Eukaryota",NA,NA,"Unclass_k__Eukaryota","bt_934"
"g__SH3-11","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","g__SH3-11",NA,NA,"g__SH3-11","bt_935"
"g__Lacibacterium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Elsterales","f__Elsteraceae","g__Lacibacterium",NA,NA,"g__Lacibacterium","bt_936"
"Unclass_o__Absconditabacteriales (SR1)","k__Bacteria","p__Patescibacteria","c__Gracilibacteria","o__Absconditabacteriales (SR1)","f__","Unclass_o__Absconditabacteriales (SR1)",NA,NA,"Unclass_o__Absconditabacteriales (SR1)","bt_937"
"g__Lachnospiraceae NK4A136 group","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae NK4A136 group",NA,NA,"g__Lachnospiraceae NK4A136 group","bt_938"
"g__Cereibacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Cereibacter",NA,NA,"g__Cereibacter","bt_939"
"g__Herminiimonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Herminiimonas",NA,NA,"g__Herminiimonas","bt_940"
"g__Micrococcus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Micrococcus",NA,NA,"g__Micrococcus","bt_941"
"Unclass_f__Thermomicrobiaceae","k__Bacteria","p__Chloroflexi","c__Chloroflexia","o__Thermomicrobiales","f__Thermomicrobiaceae","Unclass_f__Thermomicrobiaceae",NA,NA,"Unclass_f__Thermomicrobiaceae","bt_942"
"g__Rickettsia","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Rickettsiaceae","g__Rickettsia",NA,NA,"g__Rickettsia","bt_943"
"Unclass_o__Group 1.1c","k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Group 1.1c","f__","Unclass_o__Group 1.1c",NA,NA,"Unclass_o__Group 1.1c","bt_944"
"g__Brochothrix","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Listeriaceae","g__Brochothrix",NA,NA,"g__Brochothrix","bt_945"
"g__Pseudochrobactrum","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Pseudochrobactrum",NA,NA,"g__Pseudochrobactrum","bt_946"
"g__Cellulosimicrobium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Promicromonosporaceae","g__Cellulosimicrobium",NA,NA,"g__Cellulosimicrobium","bt_947"
"g__Salinispora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Salinispora",NA,NA,"g__Salinispora","bt_948"
"g__Intestinimonas","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Intestinimonas",NA,NA,"g__Intestinimonas","bt_949"
"g__Melghirimyces","k__Bacteria","p__Firmicutes","c__Bacilli","o__Thermoactinomycetales","f__Thermoactinomycetaceae","g__Melghirimyces",NA,NA,"g__Melghirimyces","bt_950"
"g__Candidatus Amoebophilus","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Amoebophilaceae","g__Candidatus Amoebophilus",NA,NA,"g__Candidatus Amoebophilus","bt_951"
"Unclass_f__Holophagaceae","k__Bacteria","p__Acidobacteriota","c__Holophagae","o__Holophagales","f__Holophagaceae","Unclass_f__Holophagaceae",NA,NA,"Unclass_f__Holophagaceae","bt_952"
"Unclass_o__CHAB-XI-27","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__CHAB-XI-27","f__","Unclass_o__CHAB-XI-27",NA,NA,"Unclass_o__CHAB-XI-27","bt_953"
"Unclass_o__SM1A07","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__SM1A07","f__","Unclass_o__SM1A07",NA,NA,"Unclass_o__SM1A07","bt_954"
"Unclass_p__Margulisbacteria","k__Bacteria","p__Margulisbacteria","c__","o__","f__","Unclass_p__Margulisbacteria",NA,NA,"Unclass_p__Margulisbacteria","bt_955"
"Unclass_f__Lachnospiraceae","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","Unclass_f__Lachnospiraceae",NA,NA,"Unclass_f__Lachnospiraceae","bt_956"
"Unclass_f__Peptococcaceae","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptococcales","f__Peptococcaceae","Unclass_f__Peptococcaceae",NA,NA,"Unclass_f__Peptococcaceae","bt_957"
"Unclass_o__CCM11a","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__CCM11a","f__","Unclass_o__CCM11a",NA,NA,"Unclass_o__CCM11a","bt_958"
"Unclass_o__Candidatus Peregrinibacteria","k__Bacteria","p__Patescibacteria","c__Gracilibacteria","o__Candidatus Peregrinibacteria","f__","Unclass_o__Candidatus Peregrinibacteria",NA,NA,"Unclass_o__Candidatus Peregrinibacteria","bt_959"
"g__Clostridium sensu stricto 8","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium sensu stricto 8",NA,NA,"g__Clostridium sensu stricto 8","bt_960"
"g__Lactococcus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Lactococcus",NA,NA,"g__Lactococcus","bt_961"
"g__Arboricoccus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Tistrellales","f__Geminicoccaceae","g__Arboricoccus",NA,NA,"g__Arboricoccus","bt_962"
"g__Anaerostipes","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerostipes",NA,NA,"g__Anaerostipes","bt_963"
"g__NS10 marine group","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Cryomorphaceae","g__NS10 marine group",NA,NA,"g__NS10 marine group","bt_964"
"g__Phycisphaera","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__Phycisphaerales","f__Phycisphaeraceae","g__Phycisphaera",NA,NA,"g__Phycisphaera","bt_965"
"g__Prevotellaceae UCG-003","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae UCG-003",NA,NA,"g__Prevotellaceae UCG-003","bt_966"
"g__Luteipulveratus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Dermacoccaceae","g__Luteipulveratus",NA,NA,"g__Luteipulveratus","bt_967"
"g__Acrocarpospora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptosporangiales","f__Streptosporangiaceae","g__Acrocarpospora",NA,NA,"g__Acrocarpospora","bt_968"
"g__Corynebacterium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium",NA,NA,"g__Corynebacterium","bt_969"
"Unclass_f__Glycomycetaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Glycomycetales","f__Glycomycetaceae","Unclass_f__Glycomycetaceae",NA,NA,"Unclass_f__Glycomycetaceae","bt_970"
"g__Paucimonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Paucimonas",NA,NA,"g__Paucimonas","bt_971"
"g__Afifella","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhodobiaceae","g__Afifella",NA,NA,"g__Afifella","bt_972"
"Unclass_f__Spirosomaceae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Spirosomaceae","Unclass_f__Spirosomaceae",NA,NA,"Unclass_f__Spirosomaceae","bt_973"
"Unclass_f__Puniceicoccaceae","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Opitutales","f__Puniceicoccaceae","Unclass_f__Puniceicoccaceae",NA,NA,"Unclass_f__Puniceicoccaceae","bt_974"
"g__Nibribacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Hymenobacteraceae","g__Nibribacter",NA,NA,"g__Nibribacter","bt_975"
"g__Hydrocarboniphaga","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Salinisphaerales","f__Solimonadaceae","g__Hydrocarboniphaga",NA,NA,"g__Hydrocarboniphaga","bt_976"
"Unclass_o__Candidatus Peribacteria","k__Bacteria","p__Patescibacteria","c__Gracilibacteria","o__Candidatus Peribacteria","f__","Unclass_o__Candidatus Peribacteria",NA,NA,"Unclass_o__Candidatus Peribacteria","bt_977"
"Unclass_f__Chroococcidiopsaceae","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Chroococcidiopsaceae","Unclass_f__Chroococcidiopsaceae",NA,NA,"Unclass_f__Chroococcidiopsaceae","bt_978"
"Unclass_o__Bacillales","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__","Unclass_o__Bacillales",NA,NA,"Unclass_o__Bacillales","bt_979"
"g__Aliihoeflea","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Aliihoeflea",NA,NA,"g__Aliihoeflea","bt_980"
"g__Thermobaculum","k__Bacteria","p__Chloroflexi","c__Chloroflexia","o__Thermobaculales","f__Thermobaculaceae","g__Thermobaculum",NA,NA,"g__Thermobaculum","bt_981"
"Unclass_c__Dehalococcoidia","k__Bacteria","p__Chloroflexi","c__Dehalococcoidia","o__","f__","Unclass_c__Dehalococcoidia",NA,NA,"Unclass_c__Dehalococcoidia","bt_982"
"g__Rudanella","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Spirosomaceae","g__Rudanella",NA,NA,"g__Rudanella","bt_983"
"Unclass_p__Zixibacteria","k__Bacteria","p__Zixibacteria","c__","o__","f__","Unclass_p__Zixibacteria",NA,NA,"Unclass_p__Zixibacteria","bt_984"
"Unclass_f__Dermatophilaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Dermatophilaceae","Unclass_f__Dermatophilaceae",NA,NA,"Unclass_f__Dermatophilaceae","bt_985"
