"","Kingdom","Phylum","Class","Order","Family","Genus","Species","combined_traits","Unique_Node_Name","tid"
"g__Larkinella","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Spirosomaceae","g__Larkinella",NA,NA,"g__Larkinella","bt_677"
"g__Microcoleus SAG 1449-1a","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Coleofasciculaceae","g__Microcoleus SAG 1449-1a",NA,NA,"g__Microcoleus SAG 1449-1a","bt_678"
"Unclass_f__A0839","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__A0839","Unclass_f__A0839",NA,NA,"Unclass_f__A0839","bt_679"
"g__Candidatus Paracaedibacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Paracaedibacterales","f__Paracaedibacteraceae","g__Candidatus Paracaedibacter",NA,NA,"g__Candidatus Paracaedibacter","bt_680"
"Unclass_f__Nocardiaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Nocardiaceae","Unclass_f__Nocardiaceae",NA,NA,"Unclass_f__Nocardiaceae","bt_681"
"g__Clostridium sensu stricto 13","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium sensu stricto 13",NA,NA,"g__Clostridium sensu stricto 13","bt_682"
"g__Tuwongella","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Gemmatales","f__Gemmataceae","g__Tuwongella",NA,NA,"g__Tuwongella","bt_683"
"g__Herbaspirillum","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Herbaspirillum",NA,NA,"g__Herbaspirillum","bt_684"
"Unclass_f__Methylopilaceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Methylopilaceae","Unclass_f__Methylopilaceae",NA,NA,"Unclass_f__Methylopilaceae","bt_685"
"Unclass_p__Gemmatimonadota","k__Bacteria","p__Gemmatimonadota","c__","o__","f__","Unclass_p__Gemmatimonadota",NA,NA,"Unclass_p__Gemmatimonadota","bt_686"
"Unclass_c__Planctomycetes","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__","f__","Unclass_c__Planctomycetes",NA,NA,"Unclass_c__Planctomycetes","bt_687"
"Unclass_o__EV818SWSAP88","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__EV818SWSAP88","f__","Unclass_o__EV818SWSAP88",NA,NA,"Unclass_o__EV818SWSAP88","bt_688"
