Secondary_lifestyle,,algal_decomposer,algal_parasite,animal_decomposer,animal_parasite,arthropod-associated,bryophilous,dung_saprotroph,epiphyte,ericoid_mycorrhizal,foliar_endophyte,fungal_decomposer,insect-associated,litter_saprotroph,nematophagous,plant_pathogen,pollen_saprotroph,rock-inhabiting,root-associated,root_endophyte,root_endophyte_dark_septate,soil_saprotroph,unspecified_symbiotroph,vertebrate-associated,wood_saprotroph,NA
DO_PCR_R_bc003_PCR_F_bc007_R1.fastq.gz,9.226323e-01,1.568922e-06,0.000000e+00,2.775423e-03,2.719465e-05,2.091896e-06,0.000000e+00,1.354503e-04,0.000000e+00,4.968253e-05,3.305196e-03,2.614870e-05,0.000000e+00,9.251410e-04,0.000000e+00,4.136724e-04,0.000000e+00,4.706766e-06,2.934407e-03,7.740015e-05,3.556223e-05,3.503926e-05,0.000000e+00,0.000000e+00,8.257759e-04,6.579327e-02
DO_PCR_R_bc003_PCR_F_bc008_R1.fastq.gz,3.799907e-01,2.004151e-04,8.517644e-04,6.084031e-05,2.877389e-03,0.000000e+00,0.000000e+00,1.019970e-03,6.878534e-03,1.252595e-04,3.866223e-02,2.537399e-03,0.000000e+00,6.120535e-02,0.000000e+00,1.012812e-02,2.147305e-05,9.233412e-04,9.423091e-03,0.000000e+00,2.487295e-03,3.149381e-04,1.574690e-04,0.000000e+00,4.676473e-02,4.353697e-01
DO_PCR_R_bc003_PCR_F_bc009_R1.fastq.gz,7.756813e-01,0.000000e+00,2.184895e-05,1.742235e-02,4.850466e-03,0.000000e+00,0.000000e+00,6.642079e-04,3.696842e-03,2.315988e-04,4.103232e-03,2.709269e-04,0.000000e+00,4.937862e-03,0.000000e+00,7.079058e-04,0.000000e+00,0.000000e+00,9.272692e-03,7.690829e-04,1.398332e-04,2.927759e-04,2.621873e-05,1.616822e-04,1.468249e-03,1.752810e-01
DO_PCR_R_bc003_PCR_F_bc010_R1.fastq.gz,0.8291866387,0.0000000000,0.0000000000,0.0016102457,0.0001235770,0.0000000000,0.0000000000,0.0004643499,0.0002209407,0.0005205213,0.0016776513,0.0006103954,0.0000000000,0.0090997603,0.0000000000,0.0003819652,0.0000000000,0.0000000000,0.0030894248,0.0025951168,0.0000000000,0.0002284302,0.0000000000,0.0000000000,0.0003557519,0.1498352307
DO_PCR_R_bc003_PCR_F_bc011_R1.fastq.gz,0.2420739196,0.0000000000,0.0010060058,0.0053732147,0.0161667480,0.0000000000,0.0000000000,0.0264185859,0.0024460407,0.0001614993,0.1559746312,0.0045993641,0.0000000000,0.0919435426,0.0000000000,0.0161398314,0.0000000000,0.0011506822,0.0110021365,0.0001278536,0.0044647814,0.0006392679,0.0018976162,0.0000000000,0.0705045169,0.3479097623
DO_PCR_R_bc003_PCR_F_bc012_R1.fastq.gz,8.130349e-01,0.000000e+00,2.490072e-04,1.113980e-02,3.931693e-05,3.931693e-05,0.000000e+00,4.324863e-04,9.436064e-04,2.608023e-03,8.584197e-03,3.407468e-04,0.000000e+00,3.944799e-03,0.000000e+00,1.965847e-03,0.000000e+00,0.000000e+00,3.787531e-03,7.706119e-03,0.000000e+00,1.179508e-04,0.000000e+00,0.000000e+00,1.153297e-03,1.439131e-01
DO_PCR_R_bc003_PCR_F_bc013_R1.fastq.gz,4.798461e-01,0.000000e+00,0.000000e+00,8.117731e-03,4.215538e-04,2.924556e-06,0.000000e+00,7.633090e-04,5.473097e-05,6.464647e-02,5.630605e-03,9.872464e-04,0.000000e+00,2.664187e-02,0.000000e+00,4.462036e-03,0.000000e+00,2.757438e-05,4.266927e-03,7.321416e-03,1.921851e-04,4.808805e-04,0.000000e+00,3.342349e-06,4.044243e-04,3.957287e-01
DO_PCR_R_bc003_PCR_F_bc014_R1.fastq.gz,0.1424154079,0.0000000000,0.0001033010,0.0803613241,0.0114893715,0.0000000000,0.0000000000,0.0056310546,0.0010903999,0.0001400303,0.1416303200,0.0076672329,0.0000000000,0.0681557321,0.0000000000,0.0010146458,0.0000000000,0.0003627014,0.0025389101,0.0668656168,0.0002961297,0.0001721684,0.0000000000,0.0000000000,0.0020361783,0.4680294752
DO_PCR_R_bc003_PCR_F_bc015_R1.fastq.gz,4.250503e-01,7.627765e-05,1.577131e-03,4.324434e-02,7.225310e-03,0.000000e+00,0.000000e+00,4.460426e-04,3.091497e-02,3.283571e-04,1.848854e-01,1.237877e-03,0.000000e+00,1.078711e-02,0.000000e+00,3.167339e-04,0.000000e+00,4.293342e-04,1.703171e-02,5.859576e-03,5.811631e-04,1.111474e-03,1.293088e-04,4.358723e-06,1.084087e-02,2.579223e-01
DO_PCR_R_bc003_PCR_F_bc016_R1.fastq.gz,9.457104e-01,0.000000e+00,0.000000e+00,6.796244e-03,1.071212e-04,0.000000e+00,0.000000e+00,5.653618e-05,2.261447e-04,1.339015e-04,1.621696e-03,7.647262e-04,0.000000e+00,1.797255e-03,0.000000e+00,2.767297e-04,0.000000e+00,0.000000e+00,2.529250e-04,2.325422e-02,0.000000e+00,7.141412e-04,0.000000e+00,0.000000e+00,2.439982e-04,1.804397e-02
DO_PCR_R_bc003_PCR_F_bc017_R1.fastq.gz,0.712490761,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.018107908,0.080561715,0.000000000,0.000000000,0.012564671,0.000000000,0.000000000,0.000000000,0.000000000,0.001478197,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.174796748
DO_PCR_R_bc003_PCR_F_bc018_R1.fastq.gz,6.450574e-01,0.000000e+00,0.000000e+00,8.165345e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.532276e-06,6.042355e-05,3.541363e-01,0.000000e+00,1.020668e-05,3.347791e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.715741e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.165345e-07,6.809898e-04
DO_PCR_R_bc003_PCR_F_bc019_R1.fastq.gz,0.7127701375,0.0000000000,0.0000000000,0.0000000000,0.0003929273,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0141453831,0.0978388998,0.0000000000,0.0000000000,0.0051080550,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0062868369,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0031434185,0.1603143418
