Ectomycorrhiza_lineage_template,,/cantharellus,/cenococcum,/clavulina,/coltricia,/cortinarius,/densospora,/elaphomyces,/endogone3,/entoloma,/genea-humaria,/geopora,/hebeloma-alnicola,/hysterangium,/inocybe,/laccaria,/marcelleina-peziza_gerardii,/otidea,/pachyphloeus-amylascus,/paralyophyllum,/paxillus-gyrodon,/phaeohelotium,/pisolithus-scleroderma,/pseudotomentella,/pulvinula,/pustularia,/russula-lactarius,/sebacina,/sphaerosporella,/sphaerosporella (T. woolhopeia clade) or /wilcoxina (T. hybrida group),/suillus-rhizopogon,/terfezia-peziza_depressa,/tomentella-thelephora,/tuber-helvella,NA
DO_PCR_R_bc001_PCR_F_bc016_R1.fastq.gz,4.738619e-01,0.000000e+00,1.427846e-02,9.485496e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.905792e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.039705e-02,0.000000e+00,1.043405e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.905792e-05,7.253614e-05,1.991954e-03,4.681817e-01
DO_PCR_R_bc001_PCR_F_bc017_R1.fastq.gz,5.086357e-02,0.000000e+00,9.913022e-02,2.310263e-01,0.000000e+00,8.334990e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.192470e-02,0.000000e+00,2.572068e-03,0.000000e+00,9.424702e-03,0.000000e+00,1.720924e-03,0.000000e+00,7.455268e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.106362e-05,0.000000e+00,2.904448e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.326417e-02,1.044421e-01,1.988134e-01,1.536469e-01
DO_PCR_R_bc001_PCR_F_bc018_R1.fastq.gz,0.1756627012,0.0000000000,0.0729050759,0.0018248523,0.0000000000,0.0000000000,0.0000000000,0.0045843851,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1288015107,0.0000000000,0.0004514443,0.0000000000,0.1657054930,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0922408805,0.0610912235,0.0010491311,0.2956833023
DO_PCR_R_bc001_PCR_F_bc020_R1.fastq.gz,1.685089e-01,0.000000e+00,1.586654e-02,1.489995e-02,0.000000e+00,0.000000e+00,3.287722e-05,0.000000e+00,0.000000e+00,0.000000e+00,2.130444e-03,0.000000e+00,0.000000e+00,0.000000e+00,1.821398e-03,0.000000e+00,0.000000e+00,0.000000e+00,3.386353e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.011020e-04,0.000000e+00,1.399912e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.937126e-02,2.960856e-01,2.153458e-01,2.481507e-01
DO_PCR_R_bc001_PCR_F_bc021_R1.fastq.gz,5.387188e-01,0.000000e+00,0.000000e+00,1.052713e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.842325e-04,0.000000e+00,1.403617e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.561756e-05,1.754521e-05,4.609093e-01
DO_PCR_R_bc001_PCR_F_bc022_R1.fastq.gz,2.735359e-01,0.000000e+00,4.527120e-04,9.788367e-05,0.000000e+00,0.000000e+00,4.486335e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.894184e-04,0.000000e+00,1.223546e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.098108e-04,0.000000e+00,3.670638e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.855030e-02,2.754406e-01,1.555739e-01,2.452557e-01
DO_PCR_R_bc002_PCR_F_bc003_R1.fastq.gz,8.010321e-01,6.557858e-04,5.621021e-04,2.891975e-04,0.000000e+00,2.851243e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.584419e-03,0.000000e+00,2.851243e-05,0.000000e+00,0.000000e+00,2.443922e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.095635e-04,0.000000e+00,3.054903e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.164936e-03,2.249223e-02,1.695227e-01
DO_PCR_R_bc002_PCR_F_bc006_R1.fastq.gz,0.4614997621,0.0000000000,0.0028553947,0.0005846760,0.0000000000,0.0000000000,0.0002175539,0.0000000000,0.0000000000,0.0000000000,0.0002855395,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001767625,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0013325175,0.0000000000,0.0024474811,0.0000000000,0.0008294242,0.0000000000,0.0005710789,0.0000000000,0.0048813652,0.1736351893,0.3506832551
DO_PCR_R_bc002_PCR_F_bc009_R1.fastq.gz,8.434404e-01,2.203944e-04,4.040565e-04,1.438686e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.040378e-05,0.000000e+00,0.000000e+00,1.316245e-04,0.000000e+00,4.285448e-05,0.000000e+00,0.000000e+00,6.489392e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.407889e-04,0.000000e+00,2.601879e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.162819e-04,2.693710e-04,1.532109e-01
DO_PCR_R_bc002_PCR_F_bc010_R1.fastq.gz,3.776593e-01,0.000000e+00,1.125453e-02,1.505318e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.991374e-05,2.280785e-05,0.000000e+00,0.000000e+00,2.771154e-04,0.000000e+00,2.965021e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.007464e-03,0.000000e+00,3.044483e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.421178e-06,0.000000e+00,3.221609e-03,8.085383e-04,2.970768e-01
