"","bcComboNum","Forward","Reverse","libPrepBy","Sample.ID","Target","PCR.ng.per.uL","libPrepNotes","unq.id","sequenced","Extraction.Date","Date.Collected","Starting.depth..cm.","Tree","Depth.cm","RNA.ng.uL","DNA.ng.uL","Soil.Mass..g.","X20uL.RNA.DILUTION.2ng.uL","X20uL.DNA.Dilution.2ng.uL","Letter.in.Batch","RNA.PCR.Water.to.be.Added.","DNA.PCR.Water.to.be.added.","X","cDNA.conc..ng.uL","uL.of.cDNA.to.input","Final.Input.ng","nucleicAcid-box","nucleicAcid"
"41",41,"PCR_F_bc019","PCR_R_bc002","Nate","D43-D","ITS",12.14,"","D43-D-ITS","yes","9/19/2023","200523",22.5,"T03","22.5-30",28.2,37.333,2.1,"1.418439716",1.071438138,"C","","250uL","",0.966,1,0.966,"DO.DNA.Box.ID","D"
"42",42,"PCR_F_bc020","PCR_R_bc002","Nate","D44-D","ITS",0.364,"","D44-D-ITS","yes","9/19/2023","220523",30,"T04","30-37.5",0.608,6.24,1.9,"65.78947368",6.41025641,"D","Don't Dilute, just use","","DNA last of batcj",0.162,7,1.134,"DO.DNA.Box.ID","D"
"43",43,"PCR_F_bc021","PCR_R_bc002","Nate","D45-D","ITS",3.52,"","D45-D-ITS","yes","9/25/2023","260523",7.5,"T05","7.5-15",4.2,11.24,2.1,"9.523809524",3.558718861,"A","","","DNA",0.146,7,1.022,"DO.DNA.Box.ID","D"
"44",44,"PCR_F_bc022","PCR_R_bc002","Nate","D46-D","ITS",1.084,"","D46-D-ITS","yes","9/25/2023","220523",22.5,"T04","22.5-30",11.8,35,1.9,"3.389830508",1.142857143,"B","","100uL","",0.77,2,1.54,"DO.DNA.Box.ID","D"
"45",45,"PCR_F_bc001","PCR_R_bc003","Nate","D47-D","ITS",1.276,"","D47-D-ITS","yes","9/25/2023","280523",30,"T06","30-37.5",13.8,32.4,1.9,"2.898550725",1.234567901,"C","","100uL","",0.6,3,1.8,"DO.DNA.Box.ID","D"
"46",46,"PCR_F_bc002","PCR_R_bc003","Nate","D48-D","ITS",0.298,"","D48-D-ITS","yes","9/27/2023","290523",7.5,"T07","7.5-15",37.05,33.333,2.1,"1.079622132",1.200012,"A","25uL","250uL","",0.586,3,1.758,"DO.DNA.Box.ID","D"
"47",47,"PCR_F_bc003","PCR_R_bc003","Nate","D49-D","ITS",7.4,"","D49-D-ITS","yes","9/27/2023","200523",15,"T03","15-22.5",34.5,38.5,2,"1.15942029",1.038961039,"D","50uL","350uL","",0.594,3,1.782,"DO.DNA.Box.ID","D"
"48",48,"PCR_F_bc004","PCR_R_bc003","Nate","D50-D","ITS",1.428,"","D50-D-ITS","yes","9/27/2023","280523",15,"T06","15-22.5",35.8,41.3,1.9,"1.117318436",0.9685230024,"C","","50uL","",0.518,3,1.554,"DO.DNA.Box.ID","D"
"49",49,"PCR_F_bc005","PCR_R_bc003","Nate","D51-D","ITS",3.64,"","D51-D-ITS","yes","9/29/2023","80523",7.5,"T02","7.5-15",36.3,39,1.9,"1.101928375",1.025641026,"B","25uL","50uL","",0.396,3,1.188,"DO.DNA.Box.ID","D"
"50",50,"PCR_F_bc006","PCR_R_bc003","Nate","D52-D","ITS",1.8,"","D52-D-ITS","yes","9/29/2023","200523",7.5,"T03","7.5-15",28.1,42,1.9,"1.423487544",0.9523809524,"C","50uL","250uL","",0.726,2,1.452,"DO.DNA.Box.ID","D"
"51",51,"PCR_F_bc007","PCR_R_bc003","Nate","D53-D","ITS",0.188,"","D53-D-ITS","yes","9/29/2023","260523",15,"T05","15-22.5",7.58,45.6,2,"5.277044855",0.8771929825,"A","","","",0.27,5,1.35,"DO.DNA.Box.ID","D"
"52",52,"PCR_F_bc008","PCR_R_bc003","Nate","D54-D","ITS",1.1,"","D54-D-ITS","yes","10/24/23","200523",0,"T03","0-7.5",40.8,41,1.99,"0.9803921569",0.9756097561,"A","100uL","250uL","",0.79,2,1.58,"DO.DNA.Box.ID","D"
